movies
"{title:Something's Gotta Give,released:2003}"
"{title:The Replacements,tagline:Pain heals, Chicks dig scars... Glory lasts forever,released:2000}"
"{title:Johnny Mnemonic,tagline:The hottest data on earth. In the coolest head in town,released:1995}"
"{title:The Devil's Advocate,tagline:Evil has its winning ways,released:1997}"
"{title:The Matrix Revolutions,tagline:Everything that has a beginning has an end,released:2003}"
"{title:The Matrix Reloaded,tagline:Free your mind,released:2003}"
"{title:The Matrix,tagline:Welcome to the Real World,released:1999}"
"{title:The Matrix Revolutions,tagline:Everything that has a beginning has an end,released:2003}"
"{title:The Matrix Reloaded,tagline:Free your mind,released:2003}"
"{title:The Matrix,tagline:Welcome to the Real World,released:1999}"
"{title:The Matrix Revolutions,tagline:Everything that has a beginning has an end,released:2003}"
"{title:The Matrix Reloaded,tagline:Free your mind,released:2003}"
"{title:The Matrix,tagline:Welcome to the Real World,released:1999}"
"{title:Cloud Atlas,tagline:Everything is connected,released:2012}"
"{title:V for Vendetta,tagline:Freedom! Forever!,released:2006}"
"{title:The Matrix Revolutions,tagline:Everything that has a beginning has an end,released:2003}"
"{title:The Matrix Reloaded,tagline:Free your mind,released:2003}"
"{title:The Matrix,tagline:Welcome to the Real World,released:1999}"
"{title:The Matrix,tagline:Welcome to the Real World,released:1999}"
